J1741+6526 17 41 40.486  65 26 38.63 1 1 18.241 0.021 -0.196 0.024 0.916 0.039 10540 170 6.000 0.060 0.235 0.028  8.02 0.21 1.109 0.236  0.8665 0.1433  1633145818062780544 
J1840+6423 18 40 37.780  64 23 11.87 1 1 18.779 0.014 -0.110 0.020 0.880 0.046  9380 130 6.550 0.050 0.179 0.040 10.15 0.30 0.532 0.158  1.2982 0.1606  2256447694151327488 
J1906+6239 19 06 00.874  62 39 23.71 0 1 17.622 0.013 -0.338 0.018 0.603 0.028 13570 180 5.341 0.042 0.259 0.040  5.67 0.20 2.460 0.495  0.5060 0.0988  2252265701675503616 
J2103-0027 21 03 08.790 -00 27 49.01 1 1 18.253 0.014 -0.189 0.019 0.841 0.031  9978 110 5.764 0.052 0.208 0.020  7.75 0.19 1.259 0.242  0.9274 0.2468  2690059032483402368 
J2104+1712 21 04 03.842  17 12 32.17 0 1 18.160 0.025 -0.213 0.027 0.682 0.038  8927 110 6.561 0.048 0.183 0.010 10.40 0.11 0.357 0.041  1.9920 0.1495  1764073394954901504 
J2124-0537 21 24 06.871 -05 37 31.79 0 0 17.290 0.014 -0.323 0.019 0.522 0.026 15052 580 4.690 0.117 0.211 0.026  3.66 0.38 5.329 2.042  0.7899 0.1374  6899409660131102848 
J2132+0754 21 32 28.359   7 54 28.08 1 1 17.929 0.019 -0.344 0.026 0.550 0.028 13780 200 6.020 0.040 0.240 0.030  7.40 0.17 1.273 0.211  0.8188 0.1397  1740741380258586624 
J2149+1506 21 49 11.107  15 06 37.71 0 1 18.065 0.021 -0.355 0.029 0.128 0.036 21164 300 6.595 0.044 0.267 0.032  7.95 0.17 1.055 0.181  0.6810 0.1842  1769307791858602880 
J2151+2730 21 51 11.472  27 30 14.45 0 1 17.016 0.012 -0.275 0.016 0.795 0.025 11901  90 5.257 0.028 0.189 0.010  6.07 0.11 1.546 0.170  0.5820 0.0763  1800183147814621056 
J2157+1627 21 57 15.929  16 27 24.64 0 0 18.191 0.018 -0.326 0.025 0.246 0.034 16326 460 7.911 0.077 0.568 0.040 10.86 0.12 0.293 0.035  1.8475 0.2095  1769840196004315008 
J2206-0454 22 06 54.913 -04 54 28.49 0 0 18.422 0.022 -0.367 0.028 0.135 0.048 21460 890 7.650 0.121 0.454 0.049 10.07 0.23 0.467 0.108  1.4702 0.2809  2621092165632032128 
J2236+2232 22 36 30.247  22 32 24.48 1 1 17.022 0.019 -0.212 0.025 0.664 0.026 11360 170 6.530 0.040 0.324 0.034  8.79 0.16 0.442 0.072  2.7338 0.0829  1874523804732334464 
J2257+3023 22 57 02.141  30 23 38.50 0 1 18.343 0.015 -0.117 0.020 0.558 0.030  9947 120 7.324 0.043 0.334 0.016 11.13 0.08 0.277 0.023  2.5042 0.1695  1886328505164612864 
J2306+0224 23 06 37.879   2 24 29.61 0 1 16.910 0.021 -0.264 0.025 0.848 0.055 11211 180 5.473 0.050 0.201 0.015  6.69 0.14 1.105 0.159  1.0422 0.0987  2658636742508253568 
J2322+0509 23 22 30.203   5 09 42.06 1 1 18.384 0.018 -0.374 0.023 0.191 0.033 19658 280 7.169 0.043 0.345 0.018  9.21 0.10 0.684 0.072  1.1558 0.2244  2660773437198409216 
J2322+2103 23 22 08.733  21 03 52.81 0 1 18.616 0.019 -0.349 0.026 0.223 0.037 16677 220 6.765 0.041 0.250 0.021  8.88 0.16 0.884 0.141  0.8261 0.2503  2825856243296564608 
J2332+0427 23 32 46.565   4 27 35.20 1 1 18.022 0.014 -0.273 0.021 0.820 0.031 11967 160 5.834 0.048 0.261 0.021  7.15 0.12 1.492 0.180  0.6779 0.1647  2660056212019666688 
J2338+1235 23 38 05.594  12 35 41.26 0 0 18.573 0.024 -0.138 0.028 1.019 0.054 11554 350 4.443 0.127 0.205 0.013  3.98 0.42 8.289 3.470  0.8714 0.2268  2764701994972434048 
J2347-0224 23 47 32.871 -02 24 33.89 0 0 18.787 0.015 -0.328 0.022 0.312 0.034 15778 220 7.014 0.042 0.280 0.016  9.55 0.11 0.702 0.077  1.3487 0.2729  2639862585760032896 
J2348+2804 23 48 52.300  28 04 38.41 0 1 18.636 0.019 -0.281 0.028 0.436 0.036 13906 180 6.204 0.041 0.220 0.037  7.96 0.23 1.365 0.308  0.8113 0.2267  2866648537004311808 
