#Table: J/ApJ/898/84/param.dat (http://cdsarc.cds.unistra.fr)
--------------------------------------------------------------------------------------------
          |                   |        |     |  e_|    l|  e_l|     |    e| log|   lo|    lo
ID        |               Gaia|Type    | Teff|Teff|og(g)|og(g)| Mass|_Mass|H/He|gC/He|gCa/He
----------|-------------------|--------|-----|----|-----|-----|-----|-----|----|-----|------
J1300+5904|1578748858964566400|DA      |14844| 103|7.990|0.007|0.606|0.006|    |     |
J1301+2600|1460293317343353344|DA      | 6863|  29|7.974|0.012|0.576|0.010|    |     |
J1301+6713|1679365202380970880|DA      | 6666|  24|8.256|0.006|0.752|0.006|    |     |
J1301-0235|3685203985758805120|DA      | 7055|  99|8.767|0.041|1.079|0.028|    |     |
J1303+1949|3941482519648231296|DA      | 6690|  49|7.946|0.022|0.559|0.018|    |     |
J1303-0323|3684329706511747840|DA      | 7202|  32|7.502|0.011|0.345|0.006|    |     |
J1304+5927|1579147088331814144|DAB     |26926| 380|8.238|0.012|0.778|0.011|    |     |
J1305+1525|3936440262402010368|DA      | 9626|  52|8.053|0.014|0.631|0.013|    |     |
J1306+1811|3938160280840704000|DA      | 8349|  91|8.473|0.019|0.900|0.016|    |     |
J1306+4355|1529609897612606592|DA      | 6593|  44|7.944|0.018|0.558|0.014|    |     |
J1307+2227|3944621251683633024|DA      |10428|  78|8.020|0.012|0.613|0.010|    |     |
J1307+4910|1554850591480752384|DA      | 5600|  30|8.015|0.022|0.595|0.020|    |     |
J1308+0013|3690709554012428416|DA      |14299| 130|7.991|0.013|0.606|0.011|    |     |
J1308+5754|1566530913957066240|DA      |11607|  84|8.162|0.011|0.703|0.010|    |     |
J1309+3509|1474090607723007104|DA      |11026|  81|8.030|0.008|0.621|0.007|    |     |
J1310+1214|3736695803210593664|DA      | 8337|  50|8.002|0.017|0.597|0.014|    |     |
J1310-0202|3684909561456453248|DA:     | 6396|  40|8.224|0.022|0.731|0.021|    |     |
J1311+1631|3936999437080327040|DA      |10648|  52|8.201|0.006|0.726|0.005|    |     |
J1311-0034|3687414210289577344|DA      | 6459|  36|8.332|0.024|0.802|0.022|    |     |
J1313+1057|3733305179932909312|DA:     | 5787|  28|8.201|0.020|0.713|0.019|    |     |
J1314+0700|3729759568466399488|DA      | 9406|  54|7.962|0.015|0.577|0.013|    |     |
J1314+1456|3744078023062858624|DA      | 6193|  41|8.245|0.014|0.744|0.013|    |     |
J1314+1732|3937174942327932544|DAH     | 7160|  56|8.357|0.021|0.821|0.019|    |     |
J1314+1732|3937174946624964224|DA      |11854| 136|8.012|0.011|0.612|0.009|    |     |
J1315+6046|1663349849153677952|DA      | 6919|  44|8.109|0.015|0.658|0.014|    |     |
J1317+0621|3717651845204820864|DA      | 5208|  24|8.045|0.015|0.609|0.014|    |     |
J1317+4833|1556005701461744640|DA      | 5903|  22|8.042|0.008|0.613|0.007|    |     |
J1318+1241|3742597358857731712|DA      | 6275|  46|8.054|0.026|0.622|0.023|    |     |
J1319+4505|1550602907481860480|DA      |12850|  50|7.332|0.004|0.311|0.002|    |     |
J1320+4712|1551402252435630592|DA      | 7944|  42|7.982|0.012|0.584|0.010|    |     |
J1320-0224|3638148805100101888|DA      | 4963|  30|7.944|0.038|0.546|0.031|    |     |
J1321+3345|1472821908743764096|DA      | 9021|  68|8.603|0.014|0.984|0.012|    |     |
J1324+0857|3731853549706103680|DA      | 8234|  30|7.912|0.009|0.545|0.007|    |     |
J1324+4149|1525359868557998336|DA      | 5299|  53|7.862|0.031|0.502|0.024|    |     |
J1324+6226|1663956268471724288|DA      |10024|  40|8.018|0.008|0.611|0.006|    |     |
J1325+0852|3731848189586855040|DA      | 9892|  58|8.296|0.012|0.786|0.011|    |     |
J1326+5025|1553656418774428032|DA      | 6775|  55|8.075|0.024|0.637|0.021|    |     |
J1327+5755|1566012013187728768|DA      | 6682|  30|7.958|0.008|0.566|0.007|    |     |
J1329-0134|3638457669084084224|DA      | 7210|  36|8.033|0.011|0.612|0.010|    |     |
J1329-0238|3637209066255998592|DA      | 8863|  76|8.251|0.032|0.754|0.028|    |     |
J1330+2329|1443266623871074816|DA      | 6186|  50|8.437|0.022|0.872|0.020|    |     |
J1330+5445|1565012935076040832|DA      | 7621|  22|8.126|0.006|0.671|0.005|    |     |
J1332+0117|3711214067185666560|DAH     | 7021|  26|8.297|0.007|0.781|0.007|    |     |
J1332+4704|1551929124663349632|DA      |22058| 298|7.906|0.012|0.577|0.009|    |     |
J1333+0321|3712812452150011648|DA      |17424| 178|7.944|0.012|0.586|0.009|    |     |
J1333+0649|3718579386342034816|DA      | 7549|  48|8.343|0.018|0.812|0.016|    |     |
J1333+1550|3744991824600484864|DA      | 8428|  70|8.560|0.016|0.956|0.014|    |     |
J1334+6601|1666261218505739008|DA      | 6032|  18|8.248|0.008|0.745|0.008|    |     |
J1335+1237|3739031165907785216|DA      |13387| 100|7.857|0.010|0.529|0.008|    |     |
J1335+3322|1469189191046042112|DA      | 8527|  40|7.592|0.013|0.387|0.008|    |     |
J1335+3610|1471998511973713152|DA      |10040|  64|7.987|0.011|0.593|0.009|    |     |
J1336+3623|1472029470098019072|DA      | 6881|  28|8.010|0.006|0.597|0.006|    |     |
J1336+3648|1472094341284011904|DA      | 6062|  26|8.033|0.011|0.608|0.010|    |     |
J1336+3727|1472500473391093120|DA      | 7790|  40|8.466|0.008|0.894|0.007|    |     |
J1336+5403|1561941170170300288|DA      | 6041|  39|8.083|0.021|0.639|0.018|    |     |
J1337+3637|1472401586064123904|DA      |20195| 266|7.788|0.011|0.513|0.007|    |     |
J1337+6110|1662871286717909632|DA      | 5567|  18|8.076|0.009|0.632|0.008|    |     |
J1338+3213|1468882118064381696|DA      | 6102|  41|8.031|0.030|0.607|0.026|    |     |
J1338-0045|3661843349398271232|DA      | 6104|  38|8.113|0.030|0.658|0.027|    |     |
J1339-0020|3661954022115425536|DA      | 7717|  59|8.025|0.031|0.609|0.027|    |     |
J1340+3228|1456903763514134272|DA      | 8737|  60|7.970|0.012|0.579|0.010|    |     |
J1341+0721|3724485756648081920|DA      | 5998|  30|7.842|0.032|0.498|0.024|    |     |
J1341+3421|1470849350522703488|DA      |16219| 166|7.909|0.011|0.564|0.008|    |     |
J1341+3545|1472114647889153920|DA      |14581| 182|7.996|0.010|0.609|0.009|    |     |
J1341+4150|1501012287368950528|DA      | 7895|  68|8.460|0.013|0.890|0.012|    |     |
J1343+1157|3728216571400055040|DA      | 7520|  50|8.478|0.022|0.902|0.020|    |     |
J1344+4349|1503091085900019712|DA      | 6240|  36|8.342|0.013|0.809|0.011|    |     |
J1346+0918|3725166869742133248|DA      | 5358|  34|7.939|0.020|0.547|0.016|    |     |
J1346+5700|1658578797618935680|DA      |14059| 104|8.052|0.005|0.641|0.004|    |     |
J1347+1021|3725570772761744384|DA+DC?  | 6995|  14|8.008|0.004|0.597|0.004|    |     |
J1347+2552|1444528416543875456|DA      | 7118|  30|7.998|0.010|0.591|0.009|    |     |
J1347+5036|1558872261424381184|DA      | 5092|  22|7.886|0.015|0.514|0.012|    |     |
J1349+4332|1502284452385828864|DA      | 8429| 110|8.451|0.022|0.885|0.019|    |     |
J1350+2434|1444161214019904768|DA      |12703| 109|8.075|0.008|0.652|0.007|    |     |
J1351+1719|1244753299874351488|DAH     | 9114|  88|8.530|0.015|0.938|0.012|    |     |
J1351+3654|1495325853747745536|DA      | 6916|  62|7.911|0.022|0.540|0.018|    |     |
J1351+4653|1509842495314395264|DA      | 6051|  58|8.573|0.032|0.961|0.027|    |     |
J1351+5419|1561389253988468224|DAH     |11422|  77|8.265|0.009|0.769|0.008|    |     |
J1352+0818|3721801956139414400|DA      | 6909|  55|7.867|0.026|0.515|0.021|    |     |
J1352+1053|3727155340815968256|DA      | 6017|  18|7.992|0.007|0.583|0.006|    |     |
J1352+3012|1456920737222542208|DA      |11639|  48|8.046|0.006|0.632|0.006|    |     |
J1352+6524|1671329451713079808|DA      |11733|  50|7.929|0.004|0.564|0.003|    |     |
J1353+2928|1452337006389928960|DA      | 7561|  56|8.240|0.012|0.744|0.011|    |     |
J1354+0108|3663900436870097664|DA      |11435|  64|7.874|0.014|0.533|0.011|    |     |
J1354+6009|1661023419988816256|DA      | 8702|  97|8.538|0.019|0.942|0.016|    |     |
J1356+5853|1659211974581862912|DA      | 7188|  62|8.389|0.015|0.842|0.014|    |     |
J1357+3348|1458024268941320064|DA      |14504| 244|7.955|0.014|0.586|0.011|    |     |
J1358+3704|1483371791532150784|DAZ     | 5438|  42|7.925|0.025|0.540|0.021|    |     |
J1359-0034|3660356573454829824|DA      |10561|  46|8.211|0.010|0.732|0.010|    |     |
J1402-0254|3645620879964502016|DA      | 6941|  56|8.287|0.048|0.774|0.043|    |     |
J1403+0452|3671751946324947584|DA      | 8900|  22|8.032|0.006|0.617|0.005|    |     |
J1403+4052|1497899703093177728|DA      | 7685|  42|7.956|0.016|0.568|0.013|    |     |
J1403+5206|1512752769450543488|DA      | 7370|  32|8.000|0.009|0.593|0.008|    |     |
J1403-0914|3615854321357005824|DA      | 9423|  58|7.909|0.014|0.546|0.011|    |     |
J1404+0936|3723164143671997952|DA      | 9956|  46|7.888|0.010|0.536|0.008|    |     |
J1404+1349|1229959542721326080|DAZ     | 5715|  39|8.062|0.047|0.624|0.041|    |     |
J1404+5243|1512865022715710464|DA      | 8007|  60|8.043|0.016|0.620|0.013|    |     |
J1406+0849|3722502856146928256|DA      | 6448|  48|8.317|0.037|0.792|0.033|    |     |
J1406+1608|1231446224176456064|DA      | 6664|  36|8.010|0.012|0.597|0.010|    |     |
J1406+1812|1245468295966061952|DA      | 7198|  46|8.382|0.011|0.837|0.010|    |     |
J1407+1133|1226206806457202432|DA      | 5341|  22|8.037|0.015|0.605|0.013|    |     |
J1407+5509|1609392862209121664|DA      | 6719|  62|9.159|0.019|1.257|0.007|    |     |
J1408+0817|3722405308849506944|DA      |10360|  54|8.002|0.011|0.603|0.009|    |     |
J1409+3828|1485197354494658176|DA      | 7326|  59|7.975|0.021|0.578|0.018|    |     |
J1409+4216|1498447607777405312|DA      | 9980|  53|8.065|0.007|0.639|0.006|    |     |
J1410+0245|3667514634669861120|DAZ     | 5624|  16|8.002|0.007|0.587|0.006|    |     |
J1412+1815|1233764059112037632|DA      | 6201|  60|8.236|0.038|0.738|0.034|    |     |
J1413+0755|3674476639217656576|DA      |15300| 130|8.513|0.006|0.935|0.005|    |     |
J1413+1205|1226307755368045824|DA      | 6799|  40|8.219|0.023|0.729|0.021|    |     |
J1413+3256|1478514389681253248|DA      |10096|  42|7.966|0.010|0.581|0.008|    |     |
J1413-0014|3659914737283635840|DA      |10033|  59|8.660|0.016|1.019|0.013|    |     |
J1414+2906|1260898494256935040|DA      | 7268|  42|8.147|0.012|0.683|0.011|    |     |
J1414+4336|1504443450842002176|DA      | 6406|  36|8.018|0.011|0.600|0.009|    |     |
J1415+4258|1504365454235966848|DA      |13593|  97|8.164|0.007|0.709|0.006|    |     |
J1415+4337|1504453896202493568|DA      | 6864|  36|8.082|0.011|0.642|0.010|    |     |
J1416+0008|3653928308787745792|DA      |13699| 106|8.226|0.007|0.748|0.006|    |     |
J1417+0346|3667872216467035776|DA      | 6097|  34|7.998|0.019|0.587|0.017|    |     |
J1417+1805|1233598174590839296|DAH     | 9054|  84|8.512|0.015|0.925|0.012|    |     |
J1418+0929|1176899898999183360|DA      |15847| 162|7.939|0.010|0.580|0.008|    |     |
J1419+2543|1258934014870979712|DAH     | 9061|  52|8.334|0.013|0.809|0.011|    |     |
J1420+4656|1506805751574450048|DA      | 9921|  48|7.456|0.009|0.340|0.004|    |     |
J1420+5322|1608061254844374784|DA      | 7501|  47|7.727|0.011|0.445|0.008|    |     |
J1421+0930|1176784239825009280|DA      | 9213|  54|8.085|0.015|0.650|0.013|    |     |
J1421+4226|1492278518615941504|DA      | 9116| 126|8.894|0.016|1.147|0.010|    |     |
J1422+3056|1285142833024133760|DA      | 8837|  36|8.327|0.008|0.804|0.007|    |     |
J1423+3037|1284932139108595712|DA      | 5209|  16|6.945|0.018|0.162|0.006|    |     |
J1423-1820|6284524274971664000|DA      | 7055|  58|8.335|0.027|0.805|0.024|    |     |
J1424+0917|1176717792385803136|DA      |11908|  76|8.016|0.006|0.615|0.005|    |     |
J1424+2028|1240475993483896832|DA      | 8113|  72|8.052|0.025|0.626|0.022|    |     |
J1424+6246|1666805889078252928|DA      | 5009|  16|7.889|0.011|0.515|0.009|    |     |
J1426+2738|1283540844582413952|DA      |12054| 210|7.574|0.012|0.394|0.008|    |     |
J1426+5006|1604422214954487168|DA+dM   |27074| 256|8.002|0.010|0.641|0.007|    |     |
J1430+0438|3669065354086975872|DA      | 7897|  42|8.057|0.012|0.629|0.010|    |     |
J1430+2811|1280674894509973760|DAH     | 9163|  77|8.550|0.015|0.950|0.012|    |     |
J1430+3710|1481311753417900160|DA      |13841| 154|7.320|0.010|0.312|0.004|    |     |
J1431+2921|1284194603029215104|DA      | 6788|  39|8.338|0.014|0.807|0.012|    |     |
J1433+1326|1179764607826002688|DA      |10066|  66|8.315|0.010|0.799|0.009|    |     |
J1433+1907|1239213243034520192|DA      | 5023|  30|7.871|0.020|0.504|0.016|    |     |
J1433+3751|1487362258530962944|DA      |10210|  70|8.201|0.014|0.725|0.012|    |     |
J1434+1508|1228266814506156928|DA      |14017| 145|8.038|0.010|0.632|0.009|    |     |
J1435+5052|1604147165248626048|DA      | 9351|  46|8.023|0.011|0.612|0.009|    |     |
J1436+4753|1591250718488330112|DA      | 8134|  72|8.365|0.013|0.828|0.013|    |     |
J1436+5635|1610657197502002048|DA      | 6798|  56|7.956|0.022|0.565|0.018|    |     |
J1440+0626|1171211743096194560|DA      | 6961|  66|8.860|0.018|1.129|0.011|    |     |
J1441+0518|1159061967810978432|DA      | 6626|  46|8.195|0.030|0.713|0.027|    |     |
J1441+4511|1493934284343845504|DA      | 9322|  72|7.930|0.014|0.558|0.011|    |     |
J1441+5639|1607738921843325440|DA      | 7296|  73|8.318|0.019|0.795|0.017|    |     |
J1441+5816|1616879612977156352|DA      | 6598|  36|8.048|0.011|0.620|0.010|    |     |
J1441+6228|1618920714579089280|DA      | 7146|  40|7.992|0.015|0.587|0.013|    |     |
J1442+0027|3651747667992161920|DA+DC?  | 8063|  81|8.284|0.024|0.774|0.021|    |     |
J1442+5546|1607546129351189888|DA      | 5291|  45|8.148|0.022|0.675|0.020|    |     |
J1443+3206|1286399437380838784|DA      |12474| 122|8.109|0.009|0.672|0.008|    |     |
J1444+1848|1237419351158798336|DA      | 7026|  40|7.979|0.023|0.579|0.018|    |     |
J1444+4717|1590192369827025152|DA      | 9725|  48|7.909|0.009|0.547|0.008|    |     |
J1444-0052|3651305423799211008|DA      | 6922|  43|8.090|0.038|0.647|0.034|    |     |
J1444-0059|3650552739370519680|DA      |12107|  74|8.115|0.009|0.675|0.008|    |     |
J1446+2130|1238445745263425536|DA      | 5857|  30|8.014|0.022|0.595|0.019|    |     |
J1446+3453|1293045504129952768|DA      |10277|  54|7.962|0.008|0.579|0.006|    |     |
J1447+2014|1238026522095817728|DA      | 6047|  52|8.186|0.037|0.705|0.033|    |     |
J1448+0157|3652390092020688128|DA      | 6957|  38|8.008|0.017|0.596|0.014|    |     |
J1448+1456|1186165582270482688|DA      | 6754|  66|7.927|0.028|0.548|0.022|    |     |
J1448+2825|1281410781322153216|DA      |23706| 342|8.428|0.011|0.891|0.010|    |     |
J1448-0232|6338811188419479040|DA      | 9199|  38|7.982|0.012|0.587|0.010|    |     |
J1449+1030|1174996090320432000|DA      | 7438|  54|8.424|0.026|0.866|0.023|    |     |
J1449+2054|1238352149340737536|DAH:    | 5721|  50|8.273|0.029|0.760|0.027|    |     |
J1450+0441|1158347014670132864|DA      |13384|  88|8.008|0.005|0.613|0.005|    |     |
J1450+0733|1161215296909017728|DA      |14859| 118|7.874|0.009|0.543|0.007|    |     |
J1450+0742|1173230210222240640|DA      | 8087|  78|8.274|0.022|0.768|0.020|    |     |
J1450+4055|1488904946359359488|DA      |13656| 140|7.923|0.009|0.566|0.007|    |     |
J1450+5753|1613862480054872320|DA      | 6991|  54|8.132|0.015|0.673|0.014|    |     |
J1451+0243|1154456216681249536|DA      | 8282|  54|8.522|0.021|0.931|0.018|    |     |
J1451+5110|1593473346884952448|DA      |16616| 172|8.510|0.008|0.935|0.007|    |     |
J1452+4746|1590462948470580480|DA      | 6179|  62|8.246|0.032|0.745|0.030|    |     |
J1452-0011|3651028381228835456|DA      | 5187|  20|7.958|0.015|0.556|0.012|    |     |
J1453+0925|1174070610767977728|DA      |10376|  70|8.694|0.019|1.040|0.014|    |     |
J1453+4225|1489504004102020864|DA      | 5832|  36|8.199|0.018|0.712|0.016|    |     |
J1454+0603|1160054281350128384|DA      | 6641|  36|8.511|0.013|0.921|0.012|    |     |
J1454+1253|1181607110141081984|DA      | 5688|  36|8.061|0.042|0.623|0.036|    |     |
J1454+4406|1586427298416103296|DA      | 7691|  46|7.986|0.015|0.586|0.013|    |     |
J1455+5655|1613573690750097024|DA      |15149| 136|7.988|0.006|0.606|0.006|    |     |
J1457+2827|1269774649765271552|DA      | 9348|  62|8.083|0.016|0.648|0.013|    |     |
J1457+2952|1282030970304135296|DA      | 5201|  39|7.835|0.022|0.486|0.018|    |     |
J1458+0605|1160021841461912448|DA      | 6724|  52|8.290|0.055|0.775|0.050|    |     |
J1500+0512|1159705388271330176|DA      | 5926|  48|8.063|0.061|0.626|0.052|    |     |
J1501+0719|1160623343042019968|DA      | 6852|  66|8.324|0.051|0.798|0.046|    |     |
J1501+3022|1276054682231244160|DA      |24502| 448|7.932|0.016|0.597|0.012|    |     |
J1501+3431|1289986903300047744|DA      |21524| 214|8.486|0.008|0.925|0.007|    |     |
J1501+6138|1619166249269416832|DA      | 5645|  24|7.096|0.012|0.207|0.004|    |     |
J1502+0920|1167866620703225984|DA      | 6771|  52|8.361|0.031|0.823|0.028|    |     |
J1504+0750|1160759923002231936|DA      | 6613|  42|8.126|0.032|0.668|0.028|    |     |
J1505+3259|1289020673097509760|DA      | 8466|  38|7.567|0.010|0.376|0.006|    |     |
J1506+0638|1160300056558791168|DA      | 9728|  73|7.493|0.017|0.352|0.009|    |     |
J1506+2934|1275760219272654080|DA      | 8278|  54|7.862|0.015|0.517|0.012|    |     |
J1506-0930|6319913126159509888|DA      |12596|  68|8.125|0.005|0.682|0.004|    |     |
J1507+3218|1288658006059681408|DA      | 8030| 105|8.758|0.030|1.075|0.021|    |     |
J1509+2150|1261751715280478848|DA      |20357| 216|7.950|0.009|0.596|0.007|    |     |
J1509+4546|1587611884756030720|DA      |11226|  90|8.065|0.008|0.643|0.008|    |     |
J1510+1248|1182318120502368256|DA      | 6174|  46|8.150|0.051|0.682|0.046|    |     |
J1510+1453|1183956427187401344|DA      | 7812|  37|8.459|0.009|0.889|0.009|    |     |
J1510-1045|6318882711964895872|DA      | 9780|  52|7.487|0.009|0.351|0.005|    |     |
J1511+3204|1276688069644366592|DA      |14734| 126|8.091|0.005|0.666|0.005|    |     |
J1511+4048|1392065975139109504|DA      | 8327|  20|7.357|0.005|0.298|0.003|    |     |
J1511+4220|1393328553789078784|DAH     |10924| 108|8.663|0.016|1.023|0.012|    |     |
J1511+5624|1600882264252963072|DA      | 8922|  44|7.943|0.009|0.564|0.007|    |     |
J1512-0946|6319467136754514176|DA      | 9648|  38|7.903|0.007|0.544|0.006|    |     |
J1513+3022|1275492999287723392|DA      | 6577|  35|8.524|0.011|0.930|0.009|    |     |
J1514+0157|4421694158655153664|DA      | 9065|  56|8.188|0.012|0.714|0.011|    |     |
J1515+6642|1645204475617697536|DA      |10099|  52|8.248|0.007|0.755|0.006|    |     |
J1516+2316|1215408610135114112|DA      | 6874|  38|7.506|0.018|0.345|0.010|    |     |
J1516+2803|1271649969930799872|DAH     | 7944|  47|8.105|0.010|0.659|0.009|    |     |
J1519+1239|1170279945646967424|DA      | 8989|  44|7.914|0.019|0.548|0.015|    |     |
J1519+3214|1278042010837800192|DA      | 9124|  92|8.605|0.020|0.985|0.016|    |     |
J1520+0803|1163912467652160896|DA      |14088| 152|7.918|0.011|0.564|0.008|    |     |
J1520+3355|1278756555956826624|DA      | 6291|  51|8.389|0.021|0.840|0.019|    |     |
J1520+5427|1599685347062685184|DA      |11817|  84|8.117|0.008|0.676|0.007|    |     |
J1521+3812|1387655524762487552|DA      |19463| 256|7.991|0.012|0.617|0.010|    |     |
J1523+1607|1207403993686544256|DA      | 6283|  24|7.974|0.016|0.574|0.014|    |     |
J1524-0030|4415701304886958848|DA      |11513| 157|7.992|0.014|0.600|0.012|    |     |
J1526+2936|1273685372108354176|DA      | 5102|  10|7.937|0.005|0.543|0.004|    |     |
J1527+2535|1222150055227312640|DA      |21628| 234|8.271|0.010|0.790|0.008|    |     |
J1527+4313|1394045267867814400|DA      |12042| 150|7.963|0.010|0.584|0.009|    |     |
J1529+0604|4429106481934491136|DA      |14771| 160|7.960|0.010|0.590|0.009|    |     |
J1529+0855|1165354855109711232|DA      |20693| 250|7.939|0.010|0.591|0.008|    |     |
J1529+2928|1273456463234876288|DA      |11145| 106|8.579|0.013|0.971|0.011|    |     |
J1529-0038|4416948833973175168|DA      | 7023|  52|8.617|0.024|0.990|0.020|    |     |
J1530+4650|1395759333479862016|DA      | 6618|  50|7.887|0.022|0.525|0.017|    |     |
J1533+0717|1164185283975493120|DA      |10397|  78|7.932|0.013|0.562|0.010|    |     |
J1533-0206|4415799779897925760|DA      |11212|  54|7.887|0.015|0.540|0.012|    |     |
J1534+0037|4417527967363383680|DA      | 8340|  77|8.077|0.026|0.642|0.022|    |     |
J1534+0218|4424031479858305408|DA      | 8293|  40|8.481|0.008|0.905|0.007|    |     |
J1534+0711|4430790968108076544|DA      | 5192|  20|7.999|0.019|0.581|0.016|    |     |
J1534+1010|1165926910393567872|DA      | 7015|  40|7.887|0.018|0.527|0.014|    |     |
J1534+1010|1165926910393568384|DA      | 6501|  39|7.941|0.022|0.555|0.018|    |     |
J1534-0227|4403768373911022080|DA      |18839| 161|8.002|0.008|0.622|0.007|    |     |
J1536+1717|1197240000824171648|DA      | 5760|  30|8.016|0.030|0.596|0.026|    |     |
J1536+5013|1402721307964211072|DA      | 8736|  34|7.237|0.006|0.265|0.003|    |     |
J1537+1041|1166063073741131520|DA      | 5696|  39|8.172|0.064|0.694|0.057|    |     |
J1537+6501|1641386833807056640|DA      | 9480|  19|7.983|0.003|0.589|0.003|    |     |
J1538+0206|4423790579436883072|DA      | 5986|  52|8.253|0.043|0.748|0.040|    |     |
J1538+0842|1164767677244452096|DAH     | 8993|  94|8.465|0.022|0.895|0.020|    |     |
J1538+5211|1596812426258489600|DA      | 8366|  30|7.942|0.008|0.562|0.007|    |     |
J1539+0153|4423768662219609088|DA      | 8763|  64|8.012|0.018|0.604|0.015|    |     |
J1539+5241|1596840493868996864|DA      | 6215|  36|8.262|0.021|0.755|0.019|    |     |
J1539+5811|1602106536090424832|DA      | 6908|  50|7.947|0.014|0.561|0.011|    |     |
J1540+2343|1221075080749770752|DA      |15697| 129|8.381|0.009|0.851|0.007|    |     |
J1540+3308|1370654257498865536|DA      | 8812|  58|8.060|0.010|0.633|0.009|    |     |
J1540-1523|6265082680310200448|DA      |15994| 173|8.017|0.010|0.625|0.008|    |     |
J1541+2053|1216353051968362112|DA      | 6161|  41|8.263|0.023|0.756|0.021|    |     |
J1541+2557|1223091649497003264|DA      | 6999|  48|8.436|0.027|0.873|0.024|    |     |
J1541+6453|1641326979142898048|DAV     |11239| 132|8.005|0.013|0.607|0.011|    |     |
J1542+0153|4423803223819720704|DA      | 6713|  42|8.195|0.020|0.713|0.019|    |     |
J1542+2329|1218051664291152000|DA      | 5937|  22|8.215|0.007|0.723|0.006|    |     |
J1543+3021|1273088783971336576|DAH     |15659| 198|8.850|0.010|1.130|0.006|    |     |
J1545+6021|1627064973301021056|DA      | 6438|  34|7.969|0.012|0.571|0.010|    |     |
J1546+0458|4426297740826647680|DA      | 6124|  68|8.246|0.043|0.744|0.039|    |     |
J1546+3751|1376326912864142336|DA      |13065|  73|8.050|0.004|0.637|0.004|    |     |
J1546+4548|1397898124114691456|DA      | 6188|  30|8.095|0.024|0.647|0.020|    |     |
J1546+4911|1401717243394126464|DA      | 6646|  37|8.050|0.014|0.621|0.012|    |     |
J1548+2451|1219699145026398848|DAH     |21666| 388|9.018|0.013|1.210|0.006|    |     |
J1549+0535|4426435871273922560|DA      |23228| 356|8.413|0.013|0.882|0.012|    |     |
J1549+2009|1204095391402194944|DA      | 8765|  66|7.925|0.016|0.553|0.012|    |     |
J1550+0838|4455205894384768256|DA      | 6416|  48|8.319|0.022|0.794|0.020|    |     |
J1550+2200|1216863676336891520|DA      |10285|  56|8.246|0.008|0.754|0.008|    |     |
J1551+3222|1369772925913456768|DA      | 8319|  44|7.969|0.011|0.577|0.010|    |     |
J1551-1638|6261001052630781312|DA      | 7863|  48|7.529|0.018|0.358|0.011|    |     |
J1552+1810|1202826348825240832|DA      |14734| 138|8.410|0.006|0.868|0.006|    |     |
J1552+1852|1203637376090060928|DA      | 7740|  41|7.372|0.010|0.301|0.005|    |     |
J1552+4638|1398051402907424512|DA      | 5186|  49|8.016|0.039|0.591|0.034|    |     |
J1553-0114|4409340076070042496|DA      | 7478|  54|7.984|0.028|0.584|0.023|    |     |
J1554+0401|4425202936481819520|DA      | 7142|  77|8.370|0.032|0.829|0.028|    |     |
J1554+2657|1223443630657641728|DA      | 5125|  62|7.964|0.046|0.559|0.038|    |     |
J1554+5730|1622769245794819968|DA      | 6669|  49|7.984|0.021|0.581|0.018|    |     |
J1554+6145|1627811571760152960|DA      | 6143|  98|8.477|0.039|0.898|0.035|    |     |
J1555+0647|4427021425634792832|DA      | 5817|  28|8.305|0.018|0.783|0.017|    |     |
J1555+3153|1321738565727229184|DA      | 6546|  28|7.936|0.010|0.553|0.008|    |     |
J1555+3513|1371872413302877568|DA      |22493| 361|7.539|0.012|0.416|0.007|    |     |
J1555+5025|1403348682426861568|DA      | 6186|  14|8.061|0.005|0.626|0.004|    |     |
J1557+0746|4454109681291473536|DA      | 6814|  37|8.000|0.023|0.591|0.019|    |     |
J1558+0736|4451097882722882432|DA      | 6341|  48|8.172|0.024|0.697|0.021|    |     |
J1558+0840|4454328930782860800|DA      | 6997|  68|7.936|0.023|0.554|0.018|    |     |
J1558+2031|1204316668115496704|DA      |12553| 117|8.135|0.008|0.689|0.007|    |     |
J1559+2529|1220062430539961344|DA      | 8436|  51|8.028|0.010|0.613|0.008|    |     |
J1600+5038|1403545284553914880|DA      | 6124|  50|8.271|0.020|0.761|0.019|    |     |
J1601+2735|1316607896578157824|DA      | 6964|  46|7.985|0.014|0.583|0.012|    |     |
J1601+3648|1372458109403442432|DA      |11148|  43|7.991|0.005|0.598|0.004|    |     |
J1601+5317|1404831472640252928|DA      | 6737|  12|8.010|0.003|0.597|0.004|    |     |
J1602+1630|1199192840852373376|DA      | 5705|  16|7.663|0.007|0.405|0.005|    |     |
J1602+1858|1203132627235232256|DA      | 5703|  66|7.986|0.046|0.578|0.038|    |     |
J1602+2336|1218800393053400576|DA      | 6234|  50|8.506|0.021|0.918|0.019|    |     |
J1602+2644|1316238426312036096|DA      | 7118|  50|8.028|0.019|0.609|0.016|    |     |
J1602+5758|1622697949337226112|DA      |15002| 198|7.967|0.010|0.594|0.008|    |     |
J1603+0808|4451552182885460480|DA      | 7381|  44|7.969|0.015|0.575|0.012|    |     |
J1604+4908|1400157173832960384|DAH     | 9217|  78|8.460|0.013|0.892|0.012|    |     |
J1605+5311|1428781653392160128|DA      | 6526|  55|7.977|0.024|0.576|0.020|    |     |
