#Table: J/ApJ/898/84/param.dat (http://cdsarc.cds.unistra.fr)
--------------------------------------------------------------------------------------------
          |                   |        |     |  e_|    l|  e_l|     |    e| log|   lo|    lo
ID        |               Gaia|Type    | Teff|Teff|og(g)|og(g)| Mass|_Mass|H/He|gC/He|gCa/He
----------|-------------------|--------|-----|----|-----|-----|-----|-----|----|-----|------
J0246-0227|2495751967528809216|DAZ     | 6698|  14|8.119|0.006|0.664|0.005|    |     |
J0249+3251| 136610338318092544|DA      |10980|  70|7.996|0.008|0.601|0.007|    |     |
J0249+3307| 139623068897753856|DA      | 5715|  14|7.994|0.006|0.582|0.006|    |     |
J0250+2116|  85469849190835968|DA      | 6488|  44|8.029|0.021|0.607|0.018|    |     |
J0250-0910|5174110233491949312|DA      | 5545|  28|7.716|0.048|0.429|0.033|    |     |
J0253-0033|2497895053130247040|DA      | 7888|  58|7.968|0.014|0.575|0.012|    |     |
J0255+0237|   1559111783825792|DA      | 8684|  42|8.265|0.010|0.763|0.009|    |     |
J0255+2106| 109247788869176448|DA      | 6283|  25|8.018|0.010|0.600|0.009|    |     |
J0255-0715|5180494685197598464|DAH     | 7150|  54|8.161|0.034|0.692|0.030|    |     |
J0256+0511|   5526420319283584|DA      | 5431|  32|7.902|0.043|0.526|0.035|    |     |
J0257+0152|   1268321022907264|DA      | 6302|  31|7.991|0.012|0.584|0.010|    |     |
J0302+0622|   7027562929324416|DA      | 6726|  58|7.971|0.024|0.574|0.020|    |     |
J0303+0002|3266576684513815168|DA      | 8361|  70|8.035|0.024|0.616|0.020|    |     |
J0306-0638|5180178266367085312|DA      | 7720|  62|8.122|0.019|0.669|0.016|    |     |
J0308+0040|3267081566509086592|DA      | 7581|  78|8.207|0.023|0.723|0.021|    |     |
J0311+1900|  59077760488621184|DA      |18229| 156|7.887|0.007|0.558|0.005|    |     |
J0314-0105|3265311627666274944|DA      | 5787|  28|7.985|0.018|0.578|0.015|    |     |
J0316-0816|5167510797199003904|DA      | 6483|  34|8.337|0.008|0.806|0.008|    |     |
J0318+0212|3268703483599047296|DA      | 7406|  39|8.534|0.012|0.938|0.010|    |     |
